2018-12-13 10:05:36 Debug: Gebruiker niet gevonden.15
2019-01-20 13:14:12 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 1
2019-01-20 13:14:17 Debug: http://localhost/cakeUren/js/select.js  gebruiker: fluke, id: 15, rol: 1
2019-01-20 13:14:20 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 1
2019-01-20 13:14:23 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 1
2019-01-20 13:14:25 Debug: http://localhost/cakeUren/js/select.js  gebruiker: fluke, id: 15, rol: 1
2019-01-20 13:14:47 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 1
2019-01-20 13:15:11 Debug: http://localhost/cakeUren/js/select.js  gebruiker: fluke, id: 15, rol: 1
2019-01-20 13:37:31 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 1
2019-01-20 13:42:50 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 1
2019-01-20 13:43:00 Debug: http://localhost/cakeUren/js/select.js  gebruiker: fluke, id: 15, rol: 1
2019-01-20 13:43:09 Debug: http://localhost/cakeUren/user/login  gebruiker: , id: , rol: 
2019-01-20 13:43:49 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 2
2019-01-20 13:43:53 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 2
2019-01-20 13:45:01 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 1
2019-01-20 13:45:04 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 1
2019-01-20 13:45:13 Debug: http://localhost/cakeUren/js/select.js  gebruiker: fluke, id: 15, rol: 1
2019-01-20 13:45:34 Debug: http://localhost/cakeUren/js/select.js  gebruiker: fluke, id: 15, rol: 1
2019-01-20 13:45:37 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 1
2019-01-20 13:45:48 Debug: http://localhost/cakeUren/js/select.js  gebruiker: fluke, id: 15, rol: 1
2019-01-20 13:45:51 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 1
2019-01-20 13:45:58 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 1
2019-01-20 13:46:26 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 1
2019-01-20 13:46:35 Debug: http://localhost/cakeUren/js/select.js  gebruiker: fluke, id: 15, rol: 1
2019-01-20 13:46:37 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 1
2019-01-20 13:47:08 Debug: http://localhost/cakeUren/js/select.js  gebruiker: fluke, id: 15, rol: 1
2019-01-20 13:47:43 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 1
2019-01-20 13:47:46 Debug: http://localhost/cakeUren/js/select.js  gebruiker: fluke, id: 15, rol: 1
2019-01-20 13:47:51 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 1
2019-01-20 14:52:58 Debug: http://localhost/cakeUren/Roles/add  gebruiker: fluke, id: 15, rol: 1
2019-01-20 15:50:33 Debug: http://localhost/cakeUren/Roles/delete/5  gebruiker: fluke, id: 15, rol: 1
2019-01-21 06:25:44 Debug: http://localhost/cakeUren/  gebruiker: , id: , rol: 
2019-01-21 06:25:51 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 1
2019-01-21 16:12:54 Debug: http://localhost/cakeUren/  gebruiker: , id: , rol: 
2019-01-21 16:12:58 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 1
2019-01-21 16:30:28 Debug: http://localhost/cakeUren/Roles/add  gebruiker: fluke, id: 15, rol: 1
2019-01-21 16:41:26 Debug: http://localhost/cakeUren/Roles/edit/1  gebruiker: fluke, id: 15, rol: 1
2019-01-21 17:13:16 Debug: http://localhost/cakeUren/Roles/edit/34  gebruiker: fluke, id: 15, rol: 1
2019-01-21 17:19:43 Debug: http://localhost/cakeUren/Roles/edit/34  gebruiker: fluke, id: 15, rol: 1
2019-01-22 06:09:38 Debug: http://localhost/cakeUren/  gebruiker: , id: , rol: 
2019-01-22 06:09:41 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 1
2019-01-22 06:09:46 Debug: http://localhost/cakeUren/Roles/edit/34  gebruiker: fluke, id: 15, rol: 1
2019-01-22 06:14:26 Debug: http://localhost/cakeUren/Roles/edit/34  gebruiker: fluke, id: 15, rol: 1
2019-01-22 06:15:43 Debug: http://localhost/cakeUren/Roles/edit/34  gebruiker: fluke, id: 15, rol: 1
2019-01-22 06:24:29 Debug: http://localhost/cakeUren/Roles/edit  gebruiker: fluke, id: 15, rol: 1
2019-01-22 15:50:27 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 1
2019-01-23 05:17:31 Debug: http://localhost/cakeUren/  gebruiker: , id: , rol: 
2019-01-23 05:17:35 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 1
2019-01-24 10:54:46 Debug: http://localhost/cakeUren/  gebruiker: , id: , rol: 
2019-01-24 10:54:50 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 1
2019-01-24 11:06:32 Debug: http://localhost/cakeUren/Roles/edit/34  gebruiker: fluke, id: 15, rol: 1
2019-01-24 18:35:16 Debug: http://localhost/cakeUren/  gebruiker: , id: , rol: 
2019-01-24 18:35:19 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 1
2019-01-24 18:50:12 Debug: http://localhost/cakeUren/Roles/edit/34  gebruiker: fluke, id: 15, rol: 1
2019-01-24 22:38:32 Debug: http://localhost/cakeUren/  gebruiker: , id: , rol: 
2019-01-24 22:38:35 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 1
2019-01-25 04:23:54 Debug: http://localhost/cakeUren/  gebruiker: , id: , rol: 
2019-01-25 04:24:01 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 1
2019-01-25 04:24:07 Debug: http://localhost/cakeUren/Roles/edit/34  gebruiker: fluke, id: 15, rol: 1
2019-01-25 04:25:16 Debug: http://localhost/cakeUren/Roles/edit/34  gebruiker: fluke, id: 15, rol: 1
2019-01-25 04:26:45 Debug: http://localhost/cakeUren/Roles/edit/34  gebruiker: fluke, id: 15, rol: 1
2019-01-25 04:28:30 Debug: http://localhost/cakeUren/Roles/edit/3  gebruiker: fluke, id: 15, rol: 1
2019-01-25 04:28:52 Debug: http://localhost/cakeUren/Roles/edit/42  gebruiker: fluke, id: 15, rol: 1
2019-01-25 04:36:20 Debug: http://localhost/cakeUren/Roles/edit/42  gebruiker: fluke, id: 15, rol: 1
2019-01-25 04:38:22 Debug: http://localhost/cakeUren/Roles/edit/34  gebruiker: fluke, id: 15, rol: 1
2019-01-25 04:38:38 Debug: http://localhost/cakeUren/Roles/edit/42  gebruiker: fluke, id: 15, rol: 1
2019-01-25 04:38:54 Debug: http://localhost/cakeUren/Roles/edit/42  gebruiker: fluke, id: 15, rol: 1
2019-01-25 04:38:57 Debug: http://localhost/cakeUren/Roles/edit/3  gebruiker: fluke, id: 15, rol: 1
2019-01-25 04:39:00 Debug: http://localhost/cakeUren/Roles/edit/34  gebruiker: fluke, id: 15, rol: 1
2019-01-25 04:39:30 Debug: http://localhost/cakeUren/Roles/edit/34  gebruiker: fluke, id: 15, rol: 1
2019-01-25 04:41:22 Debug: http://localhost/cakeUren/Roles/edit/34  gebruiker: fluke, id: 15, rol: 1
2019-01-25 04:41:26 Debug: http://localhost/cakeUren/Roles/edit/3  gebruiker: fluke, id: 15, rol: 1
2019-01-25 04:42:43 Debug: http://localhost/cakeUren/User  gebruiker: fluke, id: 15, rol: 1
2019-01-25 04:46:52 Debug: http://localhost/cakeUren/User  gebruiker: fluke, id: 15, rol: 1
2019-01-25 04:46:56 Debug: http://localhost/cakeUren/User/add  gebruiker: fluke, id: 15, rol: 1
2019-01-25 15:29:44 Debug: http://localhost/cakeUren/  gebruiker: , id: , rol: 
2019-01-25 15:31:30 Debug: http://localhost/cakeUren/  gebruiker: , id: , rol: 
2019-01-25 15:32:31 Debug: http://localhost/cakeUren/  gebruiker: , id: , rol: 
2019-01-25 15:32:58 Debug: http://localhost/cakeUren/  gebruiker: , id: , rol: 
2019-01-25 15:33:06 Debug: http://localhost/cakeUren/  gebruiker: , id: , rol: 
2019-01-25 15:33:09 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 1
2019-01-25 15:36:13 Debug: http://localhost/cakeUren/Roles/edit/45  gebruiker: fluke, id: 15, rol: 1
2019-01-25 15:36:31 Debug: http://localhost/cakeUren/Roles/edit/45  gebruiker: fluke, id: 15, rol: 1
2019-01-26 04:49:41 Debug: http://localhost/cakeUren/  gebruiker: , id: , rol: 
2019-01-26 04:49:45 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 1
2019-01-26 04:59:52 Debug: http://localhost/cakeUren/Roles/edit/43  gebruiker: fluke, id: 15, rol: 1
2019-01-26 04:59:58 Debug: http://localhost/cakeUren/Roles/edit/43  gebruiker: fluke, id: 15, rol: 1
2019-01-26 05:29:16 Debug: http://localhost/cakeUren/Roles/edit/50  gebruiker: fluke, id: 15, rol: 1
2019-01-26 05:31:05 Debug: http://localhost/cakeUren/Roles/edit/50  gebruiker: fluke, id: 15, rol: 1
2019-01-26 05:31:19 Debug: http://localhost/cakeUren/Roles/edit/50  gebruiker: fluke, id: 15, rol: 1
2019-01-26 05:31:50 Debug: http://localhost/cakeUren/Roles/edit/50  gebruiker: fluke, id: 15, rol: 1
2019-01-26 05:32:06 Debug: http://localhost/cakeUren/Roles/edit/50  gebruiker: fluke, id: 15, rol: 1
2019-01-26 05:47:45 Debug: http://localhost/cakeUren/Roles/edit/50  gebruiker: fluke, id: 15, rol: 1
2019-01-26 06:05:02 Debug: http://localhost/cakeUren/Roles/edit/50  gebruiker: fluke, id: 15, rol: 1
2019-01-26 06:05:15 Debug: http://localhost/cakeUren/Roles/edit/50  gebruiker: fluke, id: 15, rol: 1
2019-01-26 06:05:40 Debug: http://localhost/cakeUren/Roles/edit/50  gebruiker: fluke, id: 15, rol: 1
2019-01-26 14:10:43 Debug: http://localhost/cakeUren/  gebruiker: , id: , rol: 
2019-01-26 14:10:48 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 1
2019-01-26 14:38:28 Debug: http://localhost/cakeUren/Roles/edit/50  gebruiker: fluke, id: 15, rol: 1
2019-01-26 14:40:20 Debug: http://localhost/cakeUren/Roles/edit/43  gebruiker: fluke, id: 15, rol: 1
2019-01-27 12:25:38 Debug: http://localhost/cakeUren/  gebruiker: , id: , rol: 
2019-01-27 12:25:41 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 1
2019-01-27 12:29:26 Debug: http://localhost/cakeUren/Roles/edit/43  gebruiker: fluke, id: 15, rol: 1
2019-01-27 12:29:52 Debug: http://localhost/cakeUren/Roles/edit/43  gebruiker: fluke, id: 15, rol: 1
2019-01-28 03:39:38 Debug: http://localhost/cakeUren/  gebruiker: , id: , rol: 
2019-01-28 03:39:42 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 1
2019-01-28 03:49:09 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 1
2019-01-28 03:49:38 Debug: http://localhost/cakeUren/  gebruiker: fluke, id: 15, rol: 1
2019-01-28 03:49:46 Debug: http://localhost/cakeUren/js/select.js  gebruiker: fluke, id: 15, rol: 1
2019-01-28 04:09:31 Debug: http://localhost/cakeUren/js/select.js  gebruiker: fluke, id: 15, rol: 1
2019-01-28 04:09:52 Debug: http://localhost/cakeUren/js/select.js  gebruiker: fluke, id: 15, rol: 1
2019-01-28 04:10:09 Debug: http://localhost/cakeUren/js/select.js  gebruiker: fluke, id: 15, rol: 1
2019-01-28 04:12:34 Debug: http://localhost/cakeUren/UserMonthbookings/addHours/57  gebruiker: fluke, id: 15, rol: 1
2019-01-28 04:16:13 Debug: http://localhost/cakeUren/UserMonthbookings/addHours/57  gebruiker: fluke, id: 15, rol: 1
